Building Code,Building Name,Room Number,Floor,Capacity,Occupied,Status,Is Locked,Assigned Students,Student Emails
A,"អន្តេវាសិកដ្ឋាន A (Legacy Female)",A101,1,4,0,available,Open,"",""
A,"អន្តេវាសិកដ្ឋាន A (Legacy Female)",A102,1,4,0,available,Open,"",""
A,"អន្តេវាសិកដ្ឋាន A (Legacy Female)",A103,1,4,0,available,Open,"",""
A,"អន្តេវាសិកដ្ឋាន A (Legacy Female)",A104,1,4,0,available,Open,"",""
B,"អន្តេវាសិកដ្ឋាន B (Legacy Female)",B101,1,4,0,available,Open,"",""
B,"អន្តេវាសិកដ្ឋាន B (Legacy Female)",B102,1,4,0,available,Open,"",""
B,"អន្តេវាសិកដ្ឋាន B (Legacy Female)",B103,1,4,0,available,Open,"",""
B,"អន្តេវាសិកដ្ឋាន B (Legacy Female)",B104,1,4,0,available,Open,"",""
C,"អន្តេវាសិកដ្ឋាន C (Legacy Male)",C101,1,4,0,available,Open,"",""
C,"អន្តេវាសិកដ្ឋាន C (Legacy Male)",C102,1,4,0,available,Open,"",""
C,"អន្តេវាសិកដ្ឋាន C (Legacy Male)",C103,1,4,0,available,Open,"",""
C,"អន្តេវាសិកដ្ឋាន C (Legacy Male)",C104,1,4,0,available,Open,"",""
C,"អន្តេវាសិកដ្ឋាន C (Legacy Male)",C105,1,4,0,available,Open,"",""
C,"អន្តេវាសិកដ្ឋាន C (Legacy Male)",C106,1,4,0,available,Open,"",""
D,"អន្តេវាសិកដ្ឋាន D (Legacy Male)",D101,1,4,0,available,Open,"",""
D,"អន្តេវាសិកដ្ឋាន D (Legacy Male)",D102,1,4,0,available,Open,"",""
D,"អន្តេវាសិកដ្ឋាន D (Legacy Male)",D103,1,4,0,available,Open,"",""
D,"អន្តេវាសិកដ្ឋាន D (Legacy Male)",D104,1,4,0,available,Open,"",""
D,"អន្តេវាសិកដ្ឋាន D (Legacy Male)",D105,1,4,0,available,Open,"",""
D,"អន្តេវាសិកដ្ឋាន D (Legacy Male)",D106,1,4,0,available,Open,"",""
F_NEW,"អន្តេវាសិកដ្ឋាននារីថ្មី (New Female)",F101,1,8,0,available,Open,"",""
F_NEW,"អន្តេវាសិកដ្ឋាននារីថ្មី (New Female)",F102,1,8,0,available,Open,"",""
